file,sim_time,step,agent,dynamic_enabled,dynamic_state,dynamic_state_severity_index,dynamic_interaction_count,dynamic_state_history_len,dynamic_overall_stress,dynamic_env_stress_level,dynamic_env_comfort_level,dynamic_env_trigger_potential,dynamic_trigger_count,dynamic_trigger_names,dynamic_active_biases_count,dynamic_activated_memory_count,dynamic_last_update_time,dynamic_trigger_accum__stress,dynamic_trigger_delta__stress,dynamic_trigger_accum__support,dynamic_trigger_delta__support,dynamic_trigger_accum__学业失败,dynamic_trigger_delta__学业失败,dynamic_trigger_accum__未来焦虑,dynamic_trigger_delta__未来焦虑,dynamic_trigger_accum__社交压力,dynamic_trigger_delta__社交压力,dynamic_trigger_accum__自我价值,dynamic_trigger_delta__自我价值,dynamic_trigger_accum__自杀意念,dynamic_trigger_delta__自杀意念,dynamic_trigger_accum_total,dynamic_trigger_accum_support_total,dynamic_trigger_accum_negative_total,dynamic_trigger_support_minus_negative,dynamic_trigger_support_delta_sum,dynamic_trigger_negative_delta_sum,dynamic_wellbeing_index,dynamic_risk_index,dynamic_improvement_score_vs_start,dynamic_improvement_change_vs_prev,dynamic_improvement_status,dynamic_score_component_severity,dynamic_score_component_stress,dynamic_score_component_balance,dynamic_score_component_momentum
simulate-20260404-0930.json,20260404-09:30,1,卡布达,True,severe_episode,3,0,0,0.7,0.7,0.30000000000000004,0.5,1,stress,0,0,2026-04-04T21:27:54.695289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,64.75,0.0,0.0,基本持平,25.0,30.0,50.0,50.0
simulate-20260404-1030.json,20260404-10:30,2,卡布达,True,severe_episode,3,1,0,0.75,1.0,0.0,0.5,3,自我价值|stress|support,2,2,2026-04-04T10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,66.25,-1.5,-1.5,基本持平,25.0,25.0,50.0,50.0
simulate-20260404-1130.json,20260404-11:30,3,卡布达,True,severe_episode,3,1,0,0.7,0.7,0.30000000000000004,0.5,1,stress,2,2,2026-04-04T10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,64.75,0.0,1.5,基本持平,25.0,30.0,50.0,50.0
simulate-20260404-1230.json,20260404-12:30,4,卡布达,True,severe_episode,3,2,0,0.75,1.0,0.0,0.3,4,自我价值|未来焦虑|stress|support,4,2,2026-04-04T12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,66.25,-1.5,-1.5,基本持平,25.0,25.0,50.0,50.0
simulate-20260404-1330.json,20260404-13:30,5,卡布达,True,severe_episode,3,2,0,0.7,0.7,0.30000000000000004,0.3,1,stress,4,2,2026-04-04T12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,64.75,0.0,1.5,基本持平,25.0,30.0,50.0,50.0
simulate-20260404-1430.json,20260404-14:30,6,卡布达,True,severe_episode,3,3,0,0.75,1.0,0.0,0.3,5,自我价值|未来焦虑|自杀意念|stress|support,4,3,2026-04-04T14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,66.25,-1.5,-1.5,基本持平,25.0,25.0,50.0,50.0
simulate-20260404-1530.json,20260404-15:30,7,卡布达,True,severe_episode,3,3,0,0.7,0.7,0.30000000000000004,0.3,1,stress,4,3,2026-04-04T14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,64.75,0.0,1.5,基本持平,25.0,30.0,50.0,50.0
simulate-20260404-1630.json,20260404-16:30,8,卡布达,True,severe_episode,3,4,0,0.75,1.0,0.0,0.3,4,自我价值|社交压力|stress|support,2,3,2026-04-04T16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,66.25,-1.5,-1.5,基本持平,25.0,25.0,50.0,50.0
simulate-20260404-1730.json,20260404-17:30,9,卡布达,True,severe_episode,3,4,0,0.7,0.7,0.30000000000000004,0.3,1,stress,2,3,2026-04-04T16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,64.75,0.0,1.5,基本持平,25.0,30.0,50.0,50.0
simulate-20260404-1830.json,20260404-18:30,10,卡布达,True,severe_episode,3,5,0,0.65,0.8,0.19999999999999996,0.3,5,自我价值|社交压力|自杀意念|stress|support,2,2,2026-04-04T18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.75,63.25,1.5,1.5,基本持平,25.0,35.0,50.0,50.0
