file,step,sim_time,event,from,to
simulate-20260404-1030.json,2,20260404-10:30,dynamic_interaction_increment,0,1
simulate-20260404-1030.json,2,20260404-10:30,session_index_advanced,-1,1
simulate-20260404-1230.json,4,20260404-12:30,dynamic_interaction_increment,1,2
simulate-20260404-1230.json,4,20260404-12:30,session_index_advanced,1,2
simulate-20260404-1430.json,6,20260404-14:30,dynamic_interaction_increment,2,3
simulate-20260404-1430.json,6,20260404-14:30,session_index_advanced,2,3
simulate-20260404-1630.json,8,20260404-16:30,dynamic_interaction_increment,3,4
simulate-20260404-1630.json,8,20260404-16:30,session_index_advanced,3,4
simulate-20260404-1830.json,10,20260404-18:30,dynamic_interaction_increment,4,5
simulate-20260404-1830.json,10,20260404-18:30,session_index_advanced,4,5
simulate-20260404-2030.json,12,20260404-20:30,dynamic_interaction_increment,5,6
simulate-20260404-2230.json,14,20260404-22:30,dynamic_interaction_increment,6,7
simulate-20260405-0730.json,23,20260405-07:30,dynamic_interaction_increment,7,8
simulate-20260405-0930.json,25,20260405-09:30,dynamic_interaction_increment,8,9
simulate-20260405-0930.json,25,20260405-09:30,session_index_advanced,5,6
simulate-20260405-1130.json,27,20260405-11:30,dynamic_interaction_increment,9,10
simulate-20260405-1330.json,29,20260405-13:30,dynamic_interaction_increment,10,11
simulate-20260405-1530.json,31,20260405-15:30,dynamic_interaction_increment,11,12
simulate-20260405-1530.json,31,20260405-15:30,session_index_advanced,6,7
simulate-20260405-1730.json,33,20260405-17:30,dynamic_interaction_increment,12,13
simulate-20260405-1730.json,33,20260405-17:30,session_index_advanced,7,8
simulate-20260405-1930.json,35,20260405-19:30,dynamic_interaction_increment,13,14
simulate-20260405-1930.json,35,20260405-19:30,session_index_advanced,8,9
simulate-20260405-2130.json,37,20260405-21:30,dynamic_interaction_increment,14,15
simulate-20260405-2130.json,37,20260405-21:30,session_index_advanced,9,10
simulate-20260405-2330.json,39,20260405-23:30,session_completed,False,True
simulate-20260405-2330.json,39,20260405-23:30,lock_released,True,False
simulate-20260406-0030.json,40,20260406-00:30,dynamic_interaction_increment,15,16
simulate-20260406-0830.json,48,20260406-08:30,dynamic_interaction_increment,16,17
